id,name
1,indie
2,female vocalists
3,alternative
4,british
5,indie pop
6,canadian
7,indie rock
8,pop
9,country
10,taylor swift
11,singer-songwriter
12,heavy metal
13,australia
14,american
15,san francisco
16,experimental rock
17,electronic
18,new zealand
19,swedish
20,electropop
21,bagel
22,post-rock
23,disney
24,pop rock
25,dance
26,synthpop
27,usa
28,folk
29,indonesia
30,indonesian
31,synth pop
32,excellent
33,chillout
34,piano
35,less than 30000
36,soft rock
37,downtempo
38,lush
39,sweden
40,rock
41,broken social scene
42,teen pop
43,miley cyrus
44,art pop
45,jazz pop
46,brazilian
47,latin
48,rock n roll
49,blues
50,garage rock
51,britpop
52,surf rock
53,lo-fi
54,psychedelic
55,digitalis
56,ambient
57,jazz
58,female jazz vocalists
59,neu1
60,artisttoknow
61,calm
62,christmas
63,c tina
64,cello
65,comedy
66,cute
67,jazzy
68,experimental
69,fun
70,new wave
71,bubblegum bass
72,wonky
73,uk bass
74,deconstructed club
75,rnb
76,dream pop
77,poptron
78,dance-pop
79,power pop
80,spencer krug shits on british techno
81,progressive house
82,spencer krug
83,arts and crafts
84,rap
85,ashley tisdale
86,hannah montana
87,demi lovato
88,lady gaga
89,acoustic
90,all
91,portuguese
92,the bold type
93,potlot
94,stoner rock
95,hard rock
96,bandung
97,punk rock
98,post-punk
99,shoegaze
100,home collection
101,chuck
102,t61
103,idm
104,chill
105,alternative underground full tracks
106,thesixtyone
107,electronica
108,the reverb junkie
109,synthie-pop
110,polish
111,jam band
112,pc music
113,house
114,glitch
115,vaporwave
116,girl groups
117,trip-hop
118,alternative rnb
119,german
120,nu metal
121,metal
122,freak folk
123,indie folk
124,folk pop
125,united states
126,sad
127,pop-rock
128,vanessa hudgens
129,hilary duff
130,lindsay lohan
131,x factor
132,80s
133,kuduro
134,progressive kuduro
135,portugal
136,electro
137,london
138,industrial
139,avant-garde
140,underrated
141,south korea
142,instrumental
143,garage punk
144,canada
145,dance-punk
146,dreampop
147,bands ive seen live
148,hip hop
149,hip-hop
150,french
151,you dont know
152,uptempo
153,8 of 10 stars
154,misssoftserve cover
155,covers
156,love
157,mellow
158,misc
159,melancholism
160,male vocalists
161,norwegian
162,3-5
163,flashwave
164,icelandic
165,grime
166,hyperpop
167,danish
168,britney spears
169,sexy
170,edm
171,deep house
172,tropical house
173,too young to be this good
174,90s
175,australian
176,piano rock
177,emo
